iter	MultiClass
0	1.176758431
1	1.018113893
2	0.8951927238
3	0.7986796952
4	0.7208886516
5	0.6560686385
6	0.5992051991
7	0.5537069099
8	0.5112968436
9	0.4728675658
10	0.4415795531
11	0.4120002843
12	0.3861508709
13	0.3620337479
14	0.3412470795
15	0.322784246
16	0.3068866154
17	0.2896446882
18	0.2751291073
19	0.2617126271
20	0.2491722582
21	0.2372127581
22	0.2278203866
23	0.2199844528
24	0.2107007618
25	0.2030627054
26	0.1963685436
27	0.1890051933
28	0.184082644
29	0.1796497583
30	0.1729565227
31	0.1692643054
32	0.166238672
33	0.1627877482
34	0.1594409675
35	0.157139052
36	0.1559357913
37	0.1518645499
38	0.14986505
39	0.1488154183
40	0.1469161304
41	0.1449095965
42	0.1440988051
43	0.1432362433
44	0.1424685145
45	0.1411497123
46	0.1392843414
47	0.1383341879
48	0.1380805769
49	0.1354360683
50	0.1350481427
51	0.1333914219
52	0.1328943657
53	0.1318925198
54	0.1315746044
55	0.1305041666
56	0.1302875507
57	0.1301872375
58	0.1299275849
59	0.1292747448
60	0.1292146852
61	0.1288563629
62	0.1284925189
63	0.128438053
64	0.1282029957
65	0.1278986045
66	0.1278452256
67	0.1276951084
68	0.1272044944
69	0.1270832906
70	0.1270335219
71	0.126302407
72	0.1259237856
73	0.1258876333
74	0.1257418053
75	0.1252888776
76	0.1252491585
77	0.1250252382
78	0.1249839368
79	0.1247546643
80	0.1246871845
81	0.1230021735
82	0.1229422724
83	0.1228084946
84	0.1221887613
85	0.1221479939
86	0.1211689865
87	0.1211251796
88	0.12108148
89	0.1208096152
90	0.1204274618
91	0.1203873878
92	0.1203516651
93	0.1202985308
94	0.1201941791
95	0.1201214335
96	0.1200844533
97	0.1200434057
98	0.1199824746
99	0.1199401695
100	0.1198998964
101	0.119857974
102	0.1198168932
103	0.1197714002
104	0.119725121
105	0.1196825744
106	0.1196226871
107	0.1195807716
108	0.1195438436
109	0.119483932
110	0.1194404431
111	0.1193931341
112	0.1193497238
113	0.1193065382
114	0.119264846
115	0.1192220156
116	0.1191799862
117	0.1191373699
118	0.1191059467
119	0.1190445218
120	0.1190041296
121	0.1189115844
122	0.1188656103
123	0.118810439
124	0.1187633594
125	0.1187203138
126	0.118681005
127	0.1186396316
128	0.1185945599
129	0.1185488738
130	0.1185007253
131	0.1184577551
132	0.1184050863
