iter	Passed	Remaining
0	343	343044
1	490	244981
2	655	217851
3	803	200054
4	938	186787
5	1047	173486
6	1172	166355
7	1280	158755
8	1402	154452
9	1543	152763
10	1700	152902
11	1855	152744
12	1979	150289
13	2104	148239
14	2232	146623
15	2400	147659
16	2557	147891
17	2713	148059
18	2866	148022
19	3023	148140
20	3160	147341
21	3297	146572
22	3457	146859
23	3594	146176
24	3775	147225
25	3958	148281
26	4127	148728
27	4288	148885
28	4431	148381
29	4589	148407
30	4745	148350
31	4910	148557
32	5062	148338
33	5208	147980
34	5336	147142
35	5436	145586
36	5540	144194
37	5685	143939
38	5791	142706
39	5889	141353
40	5992	140175
41	6096	139048
42	6197	137926
43	6298	136855
44	6398	135799
45	6500	134814
46	6605	133930
47	6704	132976
48	6804	132071
49	6910	131304
50	7041	131028
51	7177	130853
52	7290	130269
53	7387	129415
54	7492	128730
55	7622	128501
56	7743	128112
57	7838	127306
58	7942	126683
59	8051	126147
60	8152	125498
61	8254	124883
62	8357	124302
63	8454	123640
64	8556	123080
65	8657	122521
66	8760	121992
67	8868	121555
68	8965	120972
69	9075	120571
70	9174	120041
71	9277	119575
72	9377	119080
73	9492	118782
74	9634	118823
75	9752	118564
76	9848	118053
77	9957	117707
78	10149	118322
79	10301	118464
80	10437	118424
81	10589	118553
82	10723	118480
83	10866	118498
84	11007	118491
85	11155	118555
86	11258	118150
87	11358	117712
88	11457	117276
89	11552	116809
90	11651	116391
91	11754	116010
92	11884	115907
93	12029	115940
94	12155	115793
95	12270	115544
96	12393	115376
97	12536	115389
98	12669	115302
99	12771	114941
100	12884	114687
101	13021	114643
102	13152	114545
103	13297	114564
104	13432	114491
105	13589	114609
106	13752	114774
107	13914	114923
108	14072	115033
109	14249	115294
110	14433	115599
111	14606	115806
112	14769	115932
113	14930	116035
114	15105	116249
115	15296	116572
116	15493	116931
117	15661	117060
118	15784	116859
119	15929	116814
120	16094	116919
121	16246	116922
122	16379	116787
123	16498	116553
124	16661	116631
125	16809	116601
126	16981	116734
127	17143	116787
128	17313	116900
129	17475	116949
130	17613	116842
131	17791	116989
132	17966	117117
133	18112	117055
134	18280	117131
135	18420	117022
136	18540	116790
137	18654	116525
138	18766	116246
139	18910	116163
140	19026	115913
141	19130	115589
142	19251	115376
143	19364	115108
144	19479	114859
145	19626	114799
146	19778	114768
147	19896	114540
148	20049	114511
149	20226	114617
150	20408	114749
151	20591	114878
152	20762	114940
153	20915	114899
154	21065	114839
155	21219	114800
156	21327	114515
157	21428	114196
158	21524	113850
159	21625	113533
160	21731	113245
161	21834	112945
162	21929	112606
163	22028	112289
164	22126	111975
165	22237	111723
166	22336	111414
167	22437	111116
168	22535	110810
